Run number;Date;Duration;Scan name;Scan description;Pulses;Transmission;Steps;Num hits;Hit fraction;Num streaks;Command
23;2025-07-15 20:14:09;0:00:34;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.0025,cbd.sample_y()+0.0025,4),(cbd.sample_x,cbd.sample_x()-0.0025,cbd.sample_x()+0.0025,4),N_pulses=100,description='mesh_scan_with_beam')
24;2025-07-15 20:16:39;0:02:40;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.0025,cbd.sample_y()+0.0025,4),(cbd.sample_x,cbd.sample_x()-0.0025,cbd.sample_x()+0.0025,4),N_pulses=100,description='mesh_scan_with_beam')
25;2025-07-15 20:22:03;0:00:34;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.0025,cbd.sample_y()+0.0025,4),(cbd.sample_x,cbd.sample_x()-0.0025,cbd.sample_x()+0.0025,4),N_pulses=100,description='mesh_scan_with_beam')
26;2025-07-15 20:29:49;0:00:34;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.0025,cbd.sample_y()+0.0025,4),(cbd.sample_x,cbd.sample_x()-0.0025,cbd.sample_x()+0.0025,4),N_pulses=100,description='mesh_scan_with_beam')
27;2025-07-15 21:26:05;0:02:23;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.0025,cbd.sample_y()+0.0025,4),(cbd.sample_x,cbd.sample_x()-0.0025,cbd.sample_x()+0.0025,4),N_pulses=100,description='mesh_scan_with_beam')
28;2025-07-15 21:33:29;0:00:34;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam')
29;2025-07-15 21:36:38;0:00:35;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam')
30;2025-07-15 21:39:37;0:00:34;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam')
31;2025-07-15 21:55:23;0:00:34;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam')
32;2025-07-15 21:58:18;0:01:53;mesh_scan_with_beam;mesh_scan_with_beam;8019;0.00029303051996976137;81;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.002,cbd.sample_y()+0.002,8),(cbd.sample_x,cbd.sample_x()-0.002,cbd.sample_x()+0.002,8),N_pulses=100,description='mesh_scan_with_beam')
33;2025-07-15 22:15:22;0:00:35;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam')
34;2025-07-15 22:17:43;0:01:08;mesh_scan_with_beam;mesh_scan_with_beam;4851;0.00029303051996976137;49;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,6),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,6),N_pulses=100,description='mesh_scan_with_beam')
35;2025-07-15 22:23:43;0:00:35;mesh_scan_with_beam;mesh_scan_with_beam;2475;0.00029303051996976137;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam')
36;2025-07-16 00:37:20;None;test imprint snake scan;test imprint snake scan;None;0.05190880596637726;4;None;None;None;scans.snakescan(cbd.sample_y,.02,4,cbd.sample_x,2,description="test imprint snake scan", do_pulse_picker_action = True)
37;2025-07-16 00:40:14;0:00:08;test imprint snake scan;test imprint snake scan;605;0.05190880596637726;4;None;None;None;scans.snakescan(cbd.sample_y,.02,4,cbd.sample_x,2,description="test imprint snake scan")
38;2025-07-16 00:42:48;None;test imprint snake scan;test imprint snake scan;None;0.05190880596637726;4;None;None;None;scans.snakescan(cbd.sample_y,.03,4,cbd.sample_x,3,description="test imprint snake scan", do_pulse_picker_action = True)
39;2025-07-16 00:43:37;0:00:08;test imprint snake scan;test imprint snake scan;611;0.05190880596637726;4;None;None;None;scans.snakescan(cbd.sample_y,.03,4,cbd.sample_x,3,description="test imprint snake scan")
40;2025-07-16 00:45:28;0:00:08;test imprint snake scan;test imprint snake scan;612;0.05190880596637726;4;None;None;None;scans.snakescan(cbd.sample_y,.03,4,cbd.sample_x,3,description="test imprint snake scan")
41;2025-07-16 00:46:41;0:00:08;test imprint snake scan;test imprint snake scan;607;0.019846979528665543;4;None;None;None;scans.snakescan(cbd.sample_y,.03,4,cbd.sample_x,3,description="test imprint snake scan")
42;2025-07-16 00:49:51;0:00:26;test imprint snake scan;test imprint snake scan;2101;0.05190880596637726;10;None;None;None;scans.snakescan(cbd.sample_y,.03,10,cbd.sample_x,4.75,description="test imprint snake scan")
43;2025-07-16 00:55:03;0:00:26;test imprint snake scan;test imprint snake scan;2095;1.0;10;None;None;None;scans.snakescan(cbd.sample_y,.03,10,cbd.sample_x,4.75,description="test imprint snake scan")
44;2025-07-16 03:01:14;0:00:07;LaB6 without MLLs;LaB6 without MLLs;647;0.010584811680018902;2;None;None;None;scans.snakescan(cbd.sample_y,.2,2,cbd.sample_x,28,description="LaB6 without MLLs")
45;2025-07-16 03:48:54;0:00:13;ProtK without MLLs;ProtK without MLLs;1204;0.10875038057565689;2;None;None;None;scans.snakescan(cbd.sample_y,.1,2,cbd.sample_x,28,description="ProtK without MLLs")
46;2025-07-16 03:51:01;0:01:05;ProtK without MLLs;ProtK without MLLs;6055;0.10875038057565689;10;None;None;None;scans.snakescan(cbd.sample_y,.1,10,cbd.sample_x,28,description="ProtK without MLLs")
47;2025-07-16 03:55:23;0:18:46;ProtK without MLLs;ProtK without MLLs;103551;1.0;200;None;None;None;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="ProtK without MLLs")
48;2025-07-16 04:32:25;0:15:22;LaB6 without MLLs;LaB6 without MLLs;84762;0.010584811680018902;140;None;None;None;scans.snakescan(cbd.sample_y,.05,140,cbd.sample_x,28,description="LaB6 without MLLs")
49;2025-07-16 04:48:50;0:06:02;LaB6 without MLLs;LaB6 without MLLs;33326;0.010584811680018902;140;None;None;None;scans.snakescan(cbd.sample_y,.05,140,cbd.sample_x,28,description="LaB6 without MLLs")
50;2025-07-16 13:09:39;0:00:16;LaB6 with MLLs;LaB6 with MLLs;1595;0.10875038057565689;2;None;None;None;scans.snakescan(cbd.sample_y,.04,2,cbd.sample_x,30,description="LaB6 with MLLs")
51;2025-07-16 13:13:47;0:00:34;LaB6 with MLLs;LaB6 with MLLs;3200;0.10875038057565689;4;None;None;None;scans.snakescan(cbd.sample_y,.04,4,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
52;2025-07-16 13:16:46;0:00:34;LaB6 with MLLs;LaB6 with MLLs;3195;0.10875038057565689;4;0;0.0;1010096;scans.snakescan(cbd.sample_y,.04,4,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
53;2025-07-16 13:18:16;0:05:42;LaB6 with MLLs;LaB6 with MLLs;32072;0.10875038057565689;40;None;None;None;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
54;2025-07-16 13:28:47;0:00:42;LaB6 with MLLs;LaB6 with MLLs;4002;0.10875038057565689;40;None;None;None;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
55;2025-07-16 13:30:04;None;LaB6 with MLLs;LaB6 with MLLs;None;0.10875038057565689;40;None;None;None;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
56;2025-07-16 13:30:27;None;LaB6 with MLLs;LaB6 with MLLs;None;0.10875038057565689;40;None;None;None;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
57;2025-07-16 13:31:45;0:05:41;LaB6 with MLLs;LaB6 with MLLs;32057;0.10875038057565689;40;None;None;None;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="LaB6 with MLLs", return_at_end=False)
58;2025-07-16 15:30:17;0:00:48;mesh_scan_with_beam_fresh_onaxis_MLLs;mesh_scan_with_beam_fresh_onaxis_MLLs;2475;0.0009162817732430995;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.003,cbd.sample_y()+0.003,4),(cbd.sample_x,cbd.sample_x()-0.003,cbd.sample_x()+0.003,4),N_pulses=100,description='mesh_scan_with_beam_fresh_onaxis_MLLs')
59;2025-07-16 15:40:08;0:00:10;JF_whitefield_fresh_MLLs;JF_whitefield_fresh_MLLs;999;0.0009162817732430995;1;None;None;None;scans.acquire(1000,description="JF_whitefield_fresh_MLLs")
60;2025-07-16 15:48:10;0:00:47;mesh_scan_with_beam_fresh_onaxis_MLLs;mesh_scan_with_beam_fresh_onaxis_MLLs;2475;0.0009162817732430995;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.002,cbd.sample_y()+0.002,4),(cbd.sample_x,cbd.sample_x()-0.002,cbd.sample_x()+0.002,4),N_pulses=100,description='mesh_scan_with_beam_fresh_onaxis_MLLs')
61;2025-07-16 15:51:19;0:00:46;mesh_scan_with_beam_fresh_onaxis_MLLs;mesh_scan_with_beam_fresh_onaxis_MLLs;2376;0.0009162817732430995;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004,cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='mesh_scan_with_beam_fresh_onaxis_MLLs')
62;2025-07-16 16:21:53;0:00:48;mesh_scan_with_beam_fresh_onaxis_MLLs;mesh_scan_with_beam_fresh_onaxis_MLLs;2475;0.0009162817732430995;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004,cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='mesh_scan_with_beam_fresh_onaxis_MLLs')
63;2025-07-16 16:32:21;0:00:46;mesh_scan_with_beam_fresh_onaxis_MLLs;mesh_scan_with_beam_fresh_onaxis_MLLs;2376;0.0009162817732430995;81;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.002,cbd.sample_y()+0.002,8),(cbd.sample_x,cbd.sample_x()-0.002,cbd.sample_x()+0.002,8),N_pulses=100,description='mesh_scan_with_beam_fresh_onaxis_MLLs')
64;2025-07-16 16:36:56;0:02:37;mesh_scan_with_beam_fresh_onaxis_MLLs;mesh_scan_with_beam_fresh_onaxis_MLLs;8019;0.0009162817732430995;81;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004,cbd.sample_y()+0.004,8),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,8),N_pulses=100,description='mesh_scan_with_beam_fresh_onaxis_MLLs')
65;2025-07-16 17:33:46;0:05:56;I3C with MLLs;I3C with MLLs;31753;0.10046573728322983;40;133;0.004188580606556861;37957;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="I3C with MLLs", return_at_end=False)
66;2025-07-16 17:42:27;0:05:57;I3C with MLLs;I3C with MLLs;31783;0.49682435393333435;40;4666;0.14680804203505018;211916;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="I3C with MLLs", return_at_end=False)
67;2025-07-16 17:52:17;0:05:56;I3C with MLLs;I3C with MLLs;31780;0.49682435393333435;40;6670;0.20988042794210196;282426;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="I3C with MLLs", return_at_end=False)
68;2025-07-16 18:00:55;0:05:57;I3C with MLLs;I3C with MLLs;31780;0.49682435393333435;40;7630;0.24008810572687225;328413;scans.snakescan(cbd.sample_y,.04,40,cbd.sample_x,30,description="I3C with MLLs", return_at_end=False)
69;2025-07-16 18:12:50;0:11:19;I3C with MLLs;I3C with MLLs;60386;0.49682435393333435;100;11919;0.19738018746066968;513133;scans.snakescan(cbd.sample_y,.05,100,cbd.sample_x,30,description="I3C with MLLs", return_at_end=False)
70;2025-07-16 19:00:27;0:14:55;B4C with MLLs;B4C with MLLs;79535;0.49682435393333435;100;0;0.0;2463800;scans.snakescan(cbd.sample_y,.05,100,cbd.sample_x,30,description="B4C with MLLs", return_at_end=False)
71;2025-07-16 20:57:04;0:14:51;B4C with MLLs;B4C with MLLs;79550;0.49682435393333435;100;120;0.001508485229415462;39016;scans.snakescan(cbd.sample_y,.05,100,cbd.sample_x,30,description="B4C with MLLs", return_at_end=False)
72;2025-07-16 21:55:47;0:04:09;ProtK with MLLs at t10%;ProtK with MLLs at t10%;22284;0.10046573728322983;200;0;0.0;489;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,30,description="ProtK with MLLs at t10%", return_at_end=False)
73;2025-07-16 22:13:31;0:14:47;ProtK with MLLs at t100%;ProtK with MLLs at t100%;79449;1.0;100;0;0.0;28189;scans.snakescan(cbd.sample_y,.05,100,cbd.sample_x,30,description="ProtK with MLLs at t100%", return_at_end=False)
74;2025-07-16 23:42:24;0:14:54;ProtK#3 with MLLs at t100%;ProtK#3 with MLLs at t100%;79477;1.0;100;64;0.000805264416120387;330363;scans.snakescan(cbd.sample_y,.05,100,cbd.sample_x,30,description="ProtK#3 with MLLs at t100%", return_at_end=False)
75;2025-07-17 00:23:20;0:00:18;B3C with MLLs at t100%;B3C with MLLs at t100%;1591;1.0;2;15;0.009428032683846637;2929;scans.snakescan(cbd.sample_y,.05,2,cbd.sample_x,30,description="B3C with MLLs at t100%", return_at_end=False)
76;2025-07-17 00:26:00;0:15:03;B3C with MLLs at t100%;B3C with MLLs at t100%;79581;1.0;100;53;0.0006659881127404783;28252;scans.snakescan(cbd.sample_y,.05,100,cbd.sample_x,30,description="B3C with MLLs at t100%", return_at_end=False)
77;2025-07-17 00:52:12;0:13:24;B3C with MLLs at t100%;B3C with MLLs at t100%;72368;0.10046573728322983;120;0;0.0;555346;scans.snakescan(cbd.sample_y,.05,120,cbd.sample_x,30,description="B3C with MLLs at t100%", return_at_end=False)
78;2025-07-17 01:29:35;0:21:55;Ferritin_D1 with MLLs at t100%;Ferritin_D1 with MLLs at t100%;115928;1.0;200;0;0.0;2497525;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="Ferritin_D1 with MLLs at t100%", return_at_end=False)
79;2025-07-17 02:16:13;0:27:53;AIPA_thin with MLLs at t100%;AIPA_thin with MLLs at t100%;147802;1.0;200;0;0.0;6798999;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="AIPA_thin with MLLs at t100%", return_at_end=False)
80;2025-07-17 03:03:45;0:27:56;B4C with MLLs at t100%;B4C with MLLs at t100%;147810;1.0;200;0;0.0;1020042;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="B4C with MLLs at t100%", return_at_end=False)
81;2025-07-17 04:11:19;0:27:51;I3C_2 5:1 with MLLs at t100%;I3C_2 5:1 with MLLs at t100%;147692;1.0;200;0;0.0;1900909;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="I3C_2 5:1 with MLLs at t100%", return_at_end=False)
82;2025-07-17 05:03:12;0:07:40;Fephthalocyanine with MLLs at t100%;Fephthalocyanine with MLLs at t100%;40593;1.0;200;0;0.0;3362698;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="Fephthalocyanine with MLLs at t100%", return_at_end=False)
83;2025-07-17 05:28:11;None;B3C_small_cryst with MLLs at t100%;B3C_small_cryst with MLLs at t100%;None;1.0;200;None;None;None;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="B3C_small_cryst with MLLs at t100%", return_at_end=False)
84;2025-07-17 05:32:25;0:21:26;B3C_small_cryst with MLLs at t100%;B3C_small_cryst with MLLs at t100%;113738;1.0;200;0;0.0;1608800;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="B3C_small_cryst with MLLs at t100%", return_at_end=False)
85;2025-07-17 06:40:09;0:05:34;I3C 1:10 with MLLs at t100%;I3C 1:10 with MLLs at t100%;29571;1.0;200;0;0.0;593085;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="I3C 1:10 with MLLs at t100%", return_at_end=False)
86;2025-07-17 08:26:35;0:12:14;Lab6 with burned MLLs at t1%;Lab6 with burned MLLs at t1%;65032;0.009901251643896103;200;0;0.0;155786;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="Lab6 with burned MLLs at t1%", return_at_end=False)
87;2025-07-17 08:40:50;0:15:54;Lab6 with burned MLLs at t1%;Lab6 with burned MLLs at t1%;84243;0.009901251643896103;200;None;None;None;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,28,description="Lab6 with burned MLLs at t1%", return_at_end=False)
88;2025-07-18 09:27:48;0:00:59;horscan;horscan;4059;1.0600497368784545e-08;41;None;None;None;scans.dscan(slit_und._pos_ax,-.1,.1,40,100,description="horscan")
89;2025-07-18 09:31:05;0:00:59;verscan;verscan;4059;1.0600497368784545e-08;41;None;None;None;scans.dscan(slit_und._pos_ay,-.1,.1,40,100,description="verscan")
90;2025-07-18 09:34:10;0:01:02;verscan;verscan;4059;1.0600497368784545e-08;41;None;None;None;scans.dscan(slit_und._pos_ay,-.2,.2,40,100,description="verscan")
91;2025-07-18 13:30:25;0:00:52;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.0321354940533638;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
92;2025-07-18 13:38:53;0:00:51;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.0321354940533638;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
93;2025-07-18 14:05:25;0:00:50;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.0321354940533638;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
94;2025-07-18 14:23:12;0:00:51;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.0321354940533638;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
95;2025-07-18 14:37:22;0:00:10;JF_whitefield_off-axis__MLLs;JF_whitefield_off-axis__MLLs;999;0.0321354940533638;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs")
96;2025-07-18 14:40:22;0:00:10;JF_whitefield_off-axis__MLLs;JF_whitefield_off-axis__MLLs;999;0.0321354940533638;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs")
97;2025-07-18 15:25:05;0:02:48;I3C #4;I3C #4;14841;1.0;20;13222;0.890910316016441;20911213;scans.snakescan(cbd.sample_y,.04,20,cbd.sample_x,28,description="I3C #4", return_at_end=False)
98;2025-07-18 15:30:02;0:02:48;I3C #4;I3C #4;14788;1.0;20;None;None;None;scans.snakescan(cbd.sample_y,.04,20,cbd.sample_x,28,description="I3C #4", return_at_end=False)
99;2025-07-18 15:35:31;0:24:42;I3C #4;I3C #4;128981;1.0;175;None;None;None;scans.snakescan(cbd.sample_y,.04,175,cbd.sample_x,28,description="I3C #4", return_at_end=False)
100;2025-07-18 16:56:28;None;B4C #3;B4C #3;None;1.0;250;None;None;None;scans.snakescan(cbd.sample_y,.04,250,cbd.sample_x,28,description="B4C #3", return_at_end=False)
101;2025-07-18 16:59:39;0:00:07;B4C #3;B4C #3;726;1.0;250;None;None;None;scans.snakescan(cbd.sample_y,.04,250,cbd.sample_x,28,description="B4C #3", return_at_end=False)
102;2025-07-18 17:03:29;0:33:11;B4C #3;B4C #3;184763;1.0;250;None;None;None;scans.snakescan(cbd.sample_y,.04,250,cbd.sample_x,28,description="B4C #3", return_at_end=False)
103;2025-07-18 18:27:32;0:00:03;LaB6;LaB6;309;1.0;210;None;None;None;scans.snakescan(cbd.sample_y,.04,210,cbd.sample_x,24,description="LaB6", return_at_end=False)
104;2025-07-18 18:28:26;None;LaB6;LaB6;None;1.0;210;None;None;None;scans.snakescan(cbd.sample_y,.04,210,cbd.sample_x,24,description="LaB6", return_at_end=False)
105;2025-07-18 18:30:23;0:12:16;LaB6;LaB6;61401;1.0;210;2029;0.03304506441263172;98301;scans.snakescan(cbd.sample_y,.04,210,cbd.sample_x,24,description="LaB6", return_at_end=False)
106;2025-07-18 19:10:24;0:15:41;I3C #8;I3C #8;80412;1.0;235;10390;0.1292095707108392;389544;scans.snakescan(cbd.sample_y,.04,235,cbd.sample_x,28,description="I3C #8", return_at_end=False)
107;2025-07-18 19:48:06;0:00:10;JF_whitefield_off-axis__MLLs;JF_whitefield_off-axis__MLLs;999;0.0321354940533638;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs")
108;2025-07-18 19:53:03;0:00:10;JF_whitefield_off-axis__MLLs-after-tweaking;JF_whitefield_off-axis__MLLs-after-tweaking;999;0.0321354940533638;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-tweaking")
